name,description,prompt
"Washing, Rinse-out Conditioning, Moisturizing and Detangling","Shampooing and proper detangling When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown freshly washed and conditioned — clean, moisturised coils sitting beautifully after a thorough rinse-out conditioning session. The subject is captured in a relaxed three-quarter profile, hair worn loose, with a refreshed and peaceful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck soft grey ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Trimming With Blow Drying ","Trimming weak ends When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown after trimming and blow drying — stretched, healthy hair with clean ends and impressive volume from the blow dry. The subject is captured in a confident direct gaze, hair blown out and full, with a proud and glowing expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Hot oil Treatments","Mixing of oils for scalp treatment","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Soft bokeh lighting to emphasise the sheen of the treated hair. A close studio portrait showing the application of a hot oil scalp treatment — gleaming natural hair with visible scalp nourishment and deep shine. The subject is captured in a slight overhead close angle showing the scalp and hair, with a relaxed and pampered expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck warm beige ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Moisturizing and Detangling","Detangling of hair alone or In addition to all services When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown moisturised and freshly detangled — defined, separated coils sitting freely with no tangles, showing healthy moisture retention. The subject is captured in a gentle front-facing pose, hair loose and free, with a calm, natural beauty expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Washing, Exfoliating, Moisturizing and Detangling","Shampooing, scalp scrub then moisturizing and Detangling. When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown after a full wash with scalp exfoliation — fresh, light coils with a visibly clean scalp and excellent moisture. The subject is captured in a relaxed three-quarter profile, hair loose, with a refreshed and energised expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck soft white ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"After wash cornrows","2 pieces max","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown in small, neat after-wash cornrows — two to three flat braids keeping freshly washed hair stretched and moisturised. The subject is captured in a slight overhead angle to show the simple cornrow pattern, with a clean, effortless expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck light olive ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Washing ,Moisturizing, deep conditioning with client full kit package.","This service requires the client complete product package such as shampoo, leave-in conditioner, hair butter , deep conditioner and oil . Incomplete product package will lead to the full payment of the salon price. When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown freshly washed and deep conditioned using her personal product kit — beautifully moisturised coils with visible definition and softness. The subject is captured in a direct front-facing pose, hair worn naturally loose, with a satisfied and radiant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck sage ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Washing, protein deep conditioning treatment, moisturizing and detangling","Washing, protein deep conditioning treatment, moisturizing and detangling.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown after a protein deep conditioning treatment — strong, resilient coils with restored elasticity and a healthy, lustrous sheen. The subject is captured in a 45-degree profile, hair loose and defined, with a confident and healthy expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck warm terracotta ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Starter loc - Short Hair (Medium/Regular)","This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows fresh starter locs — short, newly formed medium-sized locs in the early stages, showing neat sectioning and the beginning of the loc journey. The subject is captured in a direct front-facing pose, head slightly tilted, with an excited and hopeful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep burgundy ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Starter loc - Long Hair (Medium/Regular)","This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows fresh starter locs on longer hair — medium-sized newly formed locs showing the full length potential from the very beginning of the loc journey. The subject is captured in a three-quarter profile, hair falling naturally, with a serene and committed expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Starter loc - Short hair (Micro)","This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows fresh micro starter locs on short hair — extremely fine, densely packed newly formed locs in the very early stages of development. The subject is captured in a close front-facing angle to show the fine detail of the locs, with a proud and intentional expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Starter loc - Long Hair (Micro)","This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows fresh micro starter locs on long hair — ultra-fine, densely packed newly formed locs revealing incredible length and dedication. The subject is captured in a side profile, hair draped over the shoulder, with a graceful and patient expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Interlocking/Relocking  Mini Locs - Jumbo sized/Regular Sized Locs","Interlocking or Relocking any style of Locs This is for Mini Locs, which are smaller cuts or sessions of Locs.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows mature jumbo-sized or regular locs being interlocked and relocked — well-established, healthy locs mid-maintenance showing the precision of the relocking process. The subject is captured in a 45-degree profile to show loc thickness and definition, with a grounded and confident expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep teal ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Interlocking/Relocking  Mini Locs - Medium Sized Locs (Interlocing and relocking)","Interlocking or Relocking any style of Locs This is for Mini Locs, which are smaller cuts or sessions of Locs.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows medium-sized mature locs during the interlocking and relocking process — neat, healthy locs at a maintenance appointment with fresh root growth being reattached. The subject is captured in a slight overhead angle to show the parting and root work, with a patient and serene expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck burnt orange ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Interlocking/Relocking  Mini Locs","Interlocking or Relocking any style of Locs This is for Mini Locs, which are smaller cuts or sessions of Locs.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair shows mature mini locs being interlocked — small, defined, well-established locs showing fresh interlocking at the roots for a neat, maintained appearance. The subject is captured in a direct front-facing pose, hair worn loose and long, with a radiant and proud expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck dusty rose ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Sister Locs","Sister Locs are only available during week days, weekends are no longer convenient. Please book for weekdays only, thank you. This comes with washing and blowdrying.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in sister locs — extremely fine, tightly uniform sisterlocs covering the full head, showing perfect symmetry and delicate texture. The subject is captured in a 45-degree profile, hair worn loose and flowing, with a regal and elegant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep burgundy ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Sister Locs - Long Hair ","Sister Locs are only available during week days, weekends are no longer convenient. Please book for weekdays only, thank you. This comes with washing and blowdrying.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair features long sister locs — flowing, fine sisterlocs that reach past the shoulders, showing the full length beauty of a mature sisterloc journey. The subject is captured in a three-quarter side profile, locs draping over one shoulder, with a stunning and powerful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Bridal Service ","Bridal Hair consultations and services, Consultations may require treatments and Trial sessions before the Wedding day.(these are included in the charge)","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. The lighting is soft and luminous with a slight golden warmth. She is wearing a white off-shoulder bridal neckline. Her hair is styled in an exquisite bridal updo — an elaborate, elevated natural hair style with intricate twists, braids, or rolls arranged into a sophisticated wedding-day look, possibly adorned with subtle floral or pearl accessories. The subject is captured in a three-quarter profile facing slightly upward, as if walking down the aisle, with a radiant, emotional and breathtakingly beautiful bridal expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck white ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Intensive Growth Consultation ","This is a 3-month intensive hair consultation service with added salon styling and products. Are you struggling with slow hair growth or hair loss? Let’s fix it! Our Intensive Growth Consultation is designed for women experiencing stunted growth, thinning edges, or excessive shedding. We’ll assess the root causes and create a customized growth plan to help you achieve fuller, stronger hair. 💡 What You’ll Get: ✔️ Hair growth evaluation and targeted solutions ✔️ Scalp-stimulating techniques and product recommendations ✔️ Natural hair growth oils and treatments to boost results ✔️ Protective styling strategies to retain length 📌 Perfect for: Those struggling with hair loss, postpartum shedding, or slow growth.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown in a healthy, flourishing state — representing the goal of a growth consultation. Lush, long natural coils showing impressive length and vitality. The subject is captured in a direct, aspirational front-facing pose with hair worn loose and full, with an inspiring, hopeful and determined expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck olive green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Scalp Health","Healthy hair starts with a healthy scalp! Your scalp is the foundation of your hair’s growth and overall health. If you’re experiencing itchiness, dandruff, excessive shedding, or scalp irritation, this consultation will help diagnose the problem and provide solutions. 💡 What You’ll Get: ✔️ Scalp analysis to detect dryness, buildup, or scalp conditions ✔️ Natural remedies and product recommendations ✔️ Scalp detox and deep-cleansing tips ✔️ Personalized scalp massage techniques for improved circulation 📌 Perfect for: Those dealing with dandruff, itchy scalp, or excessive shedding.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Macro focus on the scalp and hair roots. A close-up portrait focusing on a healthy scalp visible through parted natural hair — showing a clean, well-moisturised scalp and strong hair follicles. The subject is captured in a slight overhead close angle with parted hair showing the scalp, with a relaxed and trusting expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck white ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Hair Evaluation and Regime ","Get a customized roadmap for your healthiest hair yet! Not sure what products to use or why your hair isn’t growing as expected? Our Hair Evaluation & Regimen Building service is designed to analyze your hair type, porosity, and texture to create a tailored routine that works for YOU. 💡 What You’ll Get: ✔️ Personalized hair care routine (daily, weekly, and monthly) ✔️ Product recommendations based on your hair needs ✔️ Tips on moisture retention, length retention, and styling 📌 Perfect for: Those struggling with dryness, breakage, or an ineffective routine.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown in a beautifully evaluated state — a variety of natural hair textures and curl patterns visible, representing a thorough hair evaluation and personalised care regime. The subject is captured in a relaxed front-facing pose, hair worn naturally loose, with a thoughtful and informed expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck sage ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Acrylic Set - Acrylic Toe","Short Plain","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus entirely on the feet and nail art. Neutral background. A close-up beauty shot of elegant toes with a fresh acrylic toe set — perfectly sculpted acrylic nail on the big toe with a clean, polished finish. The subject is captured overhead close-up of the feet, toes extended, nails polished and presented elegantly. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — foot/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Acrylic Set - Short Plain","Short Plain","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus entirely on the hands and nail art. Neutral studio background. A close-up beauty shot of hands with a fresh short plain acrylic set — short, clean acrylic nails with a smooth, polished surface and natural nail shape. The subject is captured overhead close-up of the hands with fingers spread, nails clean and elegant. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — hand/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Acrylic Set - Medium Plain","Short Plain","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus entirely on the hands and nail shape. A close-up beauty shot of hands with a medium plain acrylic nail set — medium-length, smooth acrylic nails with a clean finish showing perfect shaping. The subject is captured slightly angled overhead close-up of both hands, elegant and polished. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — hand/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Acrylic Set - Long Plain","Short Plain","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus on nail length and perfect form. A close-up beauty shot of hands with a long plain acrylic nail set — dramatic long acrylic nails with a sleek, smooth surface and perfect length. The subject is captured overhead close-up with one hand posed gracefully, striking and dramatic. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — hand/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Acrylic Set - XXL","Short Plain","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Emphasise the dramatic nail length. A close-up beauty shot of hands with XXL acrylic nails — extremely long, dramatic acrylic nails creating a bold, statement-making look. The subject is captured posed close-up showing the full dramatic length, bold and glamorous. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — hand/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Gels on Nails ","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus on the glossy gel finish and healthy nail appearance. A close-up beauty shot of hands with gel nails — natural nails enhanced with a glossy gel overlay, showing a healthy shine and smooth finish. The subject is captured overhead close-up of both hands with fingers extended, clean and polished. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — hand/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"All Toe Fixing - Big Toe Fixing","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus on the single toe nail fix. A close-up beauty shot showing a single big toe with a fresh gel or acrylic fixing — clean, neat, and well-shaped. The subject is captured overhead close-up of the big toe, polished and refined. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — toe/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"All Toe Fixing","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Show all toes clearly. A close-up beauty shot of all toes fixed and polished — every toenail neat, shaped, and finished with a clean, uniform appearance. The subject is captured overhead close-up of both feet with toes spread, elegant and well-groomed. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — foot/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Gel Polish on Natural Toes ","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Focus on the gel polish colour and finish. A close-up beauty shot of natural toenails with a fresh gel polish application — shiny, colourful gel on natural toes with a smooth, flawless finish. The subject is captured slightly angled overhead shot of both feet, polished and refined. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck not applicable — foot/nail shot ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
